#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
baño	6.25	3.64	5.59	6.68	6.65	6.86
baranda	5.00	3.55	5.00	5.09	3.83	3.65
barbaridad	3.48	6.73	2.45	2.09	4.05	4.71
barco	5.86	3.77	6.18	6.86	6.25	6.14
barra	4.91	4.45	4.36	6.19	5.60	5.90
barranco	3.82	6.05	6.32	6.75	5.27	5.38
bastón	4.60	4.14	6.67	6.87	5.50	5.55
bata	5.35	3.75	6.10	6.38	6.32	5.68
bautizo	5.75	4.48	5.91	5.23	6.45	5.05
bendición	6.35	3.68	3.00	2.00	4.00	4.52
beneficio	7.26	5.50	2.65	2.91	3.91	5.10
beso	8.14	5.86	5.75	6.71	6.55	6.67
bestia	3.45	6.25	4.18	5.52	4.75	5.33
bienestar	8.30	3.75	2.50	3.05	4.55	5.85
bikini	6.81	5.00	4.76	6.90	6.50	6.73
billetera	5.35	4.75	6.19	6.60	4.91	5.24
blusa	5.35	4.35	6.50	6.67	6.05	5.50
bodega	5.70	4.05	5.71	6.14	5.36	4.76
bofetada	2.86	6.95	6.50	6.10	6.00	6.09
bolsa	5.00	3.55	5.38	6.73	6.25	6.55
bolsillo	5.50	4.25	6.14	6.75	5.64	6.62
bolso	5.35	3.80	5.48	6.85	6.09	6.70
bombardeo	2.09	7.50	4.86	6.05	4.41	4.57
bombero	5.18	5.14	6.75	6.80	6.45	5.65
bombilla	4.96	3.50	6.65	6.91	6.09	6.48
bondad	7.23	3.70	3.30	2.05	4.88	6.35
borde	3.86	4.68	3.25	4.91	5.05	6.20
borracho	3.30	6.40	6.09	6.26	6.64	6.68
bota	5.00	4.00	5.41	6.91	5.85	6.15
bote	4.71	3.95	4.77	6.48	5.35	5.82
botella	5.65	4.05	6.09	7.00	6.45	6.75
botín	5.85	5.23	4.95	5.50	3.90	5.00
brazo	4.80	3.40	6.36	7.00	6.32	6.86
brevedad	4.55	3.55	3.78	2.61	4.35	5.33
brillante	7.15	6.15	2.90	4.30	4.55	5.68
brutalidad	2.79	8.05	4.22	3.61	3.35	4.48
bufanda	5.39	3.05	6.52	6.90	5.91	6.64
bulto	3.82	5.61	3.14	4.71	2.57	5.18
burro	4.85	4.67	5.64	6.70	5.70	5.70
butaca	5.91	2.95	6.40	6.76	5.75	6.00
buzón	4.77	3.75	5.52	6.85	5.45	6.32
cabello	6.15	4.10	6.32	6.59	6.35	6.15
cachondeo	5.64	7.45	3.71	3.85	5.63	6.18
cadáver	1.68	7.09	6.14	6.50	5.45	5.05
caer	3.00	6.27	4.91	5.14	5.91	6.33
caja	4.85	3.55	4.19	6.60	5.50	6.68
cálculo	4.35	4.86	3.19	4.18	4.55	5.33
calefacción	6.57	2.50	5.57	5.95	6.59	6.75
calidad	6.83	4.15	2.50	2.90	4.55	5.75
callado	4.05	3.80	5.91	5.09	5.36	6.38
calvario	2.13	6.27	2.73	2.50	3.59	4.14
cama	6.86	2.55	6.77	7.00	6.75	6.95
camarera	5.50	4.87	6.09	6.19	5.71	6.48
cambio	5.27	6.10	3.09	2.09	5.32	6.38
camión	5.05	5.05	6.38	6.86	6.09	6.24
camiseta	5.48	4.35	6.60	6.86	6.45	6.64
camisón	5.38	3.45	6.14	6.60	5.00	4.85
campamento	7.05	4.65	5.48	5.41	5.18	5.50
campaña	4.80	4.15	3.15	3.65	5.25	4.90
campeona	8.30	7.09	5.04	6.04	4.67	5.60
campeonato	5.67	6.90	4.50	5.35	6.10	5.55
campesino	5.05	3.75	6.19	6.75	4.83	4.65
canal	4.76	3.27	3.59	4.22	6.15	5.90
cáncer	1.09	7.60	5.23	3.09	5.15	5.81
canción	7.55	4.64	5.10	3.90	6.41	6.90
candado	3.86	4.30	6.67	6.77	4.96	5.50
candidata	5.64	4.43	3.64	2.76	3.67	5.45
candidato	5.00	4.75	3.19	3.68	4.55	5.59
cansancio	2.80	4.45	3.80	3.95	5.39	6.65
cantidad	5.38	4.73	2.05	2.80	3.59	6.55
caña	5.14	4.45	5.20	6.24	6.00	5.86
cañón	2.95	5.80	6.35	6.55	4.50	5.14
capa	5.19	3.95	5.85	6.41	5.05	5.45
capacidad	7.13	4.73	2.65	2.00	2.82	6.25
capilla	3.91	4.05	5.90	5.86	5.09	4.50
capital	5.33	4.50	4.00	4.96	5.10	6.39
capitán	5.22	3.95	5.71	5.57	4.82	5.65
capricho	5.48	5.55	2.95	2.14	4.05	5.60
carcajada	8.33	4.81	5.55	6.15	6.17	6.00
carcelero	3.39	5.30	5.00	4.05	4.00	4.19
cardenal	3.81	4.85	5.18	4.86	3.55	3.90
carga	3.80	4.91	3.74	4.35	4.09	5.19
caricia	8.10	4.15	4.55	5.35	6.20	6.50
caridad	6.50	4.32	3.91	3.13	4.83	5.24
cariño	8.58	4.86	3.50	4.19	5.55	6.82
cariñoso	7.35	4.48	4.30	4.15	5.65	6.68
carmín	5.67	4.25	5.65	5.14	3.55	4.55
carnicería	4.15	5.60	6.22	6.78	6.05	5.95
carpeta	5.17	3.90	6.05	6.77	6.64	6.62
cartel	5.25	3.65	4.41	6.38	4.67	6.10
carterista	2.23	6.65	5.81	4.50	5.00	5.04
casaca	5.08	3.85	5.48	4.70	2.09	2.38
casco	5.00	3.50	6.00	6.43	5.80	6.05
caseta	4.90	4.15	4.10	5.95	4.68	5.60
casino	4.95	5.14	6.05	5.95	5.00	4.76
castidad	2.41	4.45	5.45	2.85	2.83	3.80
castillo	6.09	4.15	6.15	6.81	5.36	6.00
casualidad	6.48	5.10	2.60	1.77	4.73	5.85
catálogo	5.59	4.10	4.82	5.45	5.00	5.41
cateto	3.86	4.65	4.27	3.00	3.55	4.73
caudal	4.81	4.18	4.68	4.43	3.65	4.45
cazadora	5.36	3.78	4.82	6.38	5.43	6.65
cebolla	3.61	3.59	6.75	6.95	6.18	6.87
celador	4.60	5.35	5.33	4.52	4.14	4.27
celadora	4.80	5.20	5.52	4.55	3.41	3.48
