#Word	VAL_M	ARO_M	CON_M	IMA_M	AVA_M	FAM_M
oportunidad	7.90	4.82	3.40	3.24	4.59	6.45
oposición	4.43	6.23	3.65	2.78	4.36	5.70
optimismo	7.83	4.60	3.05	2.80	3.91	6.20
oración	4.33	3.45	3.24	3.45	4.64	5.67
orfanato	1.73	6.10	6.10	5.40	5.04	4.52
órgano	4.91	5.60	4.62	5.68	5.00	5.62
orgasmo	8.15	7.36	5.00	4.00	6.14	6.23
otoño	5.19	3.40	4.95	6.19	6.59	6.35
paciente	4.95	4.00	5.10	5.00	5.70	5.81
pacto	5.63	5.43	2.55	3.05	4.90	5.60
página	5.15	3.68	5.71	6.23	5.65	6.68
pala	4.38	3.50	5.19	6.50	4.95	5.18
palma	5.00	3.86	4.55	5.85	5.75	5.67
pamela	5.70	4.35	5.00	6.05	4.05	4.29
panadera	5.93	3.83	5.91	6.38	5.95	5.90
pánico	2.20	7.35	3.05	3.90	5.32	5.14
pantano	5.32	4.70	5.86	5.95	5.59	5.59
pañuelo	4.26	3.95	6.30	6.82	6.14	6.33
papa	7.00	4.50	5.40	6.43	6.05	6.50
papel	5.32	3.73	5.15	6.91	6.55	6.40
paracaídas	6.65	6.86	6.90	6.73	4.91	5.43
paraguas	3.15	5.30	6.29	7.00	6.64	6.50
pared	4.77	3.45	6.32	6.55	6.00	6.52
parque	7.18	3.35	4.55	6.81	6.19	6.76
párrafo	4.80	4.05	5.41	5.75	4.59	6.23
partera	4.85	6.00	4.90	2.64	2.68	2.74
parto	7.39	7.64	5.45	6.05	6.23	4.85
pasado	5.50	5.30	2.60	3.15	5.86	6.14
pase	4.90	3.75	3.10	4.83	4.05	4.85
pasillo	4.70	3.77	5.70	6.32	4.36	6.10
pasión	7.96	6.70	2.95	4.05	5.86	6.55
pasividad	3.80	3.27	2.85	2.22	3.74	5.00
pasta	5.95	4.82	3.70	6.59	6.30	6.90
pastor	5.10	3.36	6.09	6.45	4.80	5.73
pata	4.90	3.30	5.09	6.60	5.30	5.91
patente	5.14	4.27	3.95	1.83	2.86	3.95
patinadora	6.12	4.70	6.19	5.85	5.68	5.05
patrón	4.70	4.18	3.62	3.95	3.80	4.50
patronato	4.80	3.45	4.43	2.87	2.32	2.10
pausa	5.29	2.35	4.14	2.74	4.95	5.55
pausado	4.86	2.68	3.95	2.48	3.36	4.77
pavimento	4.68	3.75	5.00	5.05	3.00	4.30
peca	5.45	3.25	5.29	6.05	5.45	5.14
pecado	4.08	4.81	3.77	2.18	4.00	5.30
pecar	3.27	6.45	4.05	2.04	4.32	5.15
pedazo	4.90	4.05	3.45	4.43	4.09	5.64
pediatra	5.77	3.60	6.48	5.40	5.64	5.05
pedófilo	1.14	8.00	5.50	3.10	3.52	4.05
peinado	6.45	3.75	3.71	6.05	6.23	6.59
peligro	2.50	7.36	2.90	3.33	5.14	6.00
pelota	6.04	4.15	5.91	7.00	6.55	6.38
peluca	4.68	3.87	6.36	6.71	4.62	5.40
peluquera	5.60	4.15	6.29	6.43	6.50	6.48
peluquero	5.55	4.45	6.14	6.52	6.32	6.10
pendiente	5.33	4.45	4.95	6.45	6.20	5.86
pene	5.77	6.60	6.82	6.87	5.95	6.43
penetración	5.95	7.55	4.80	4.82	6.18	6.38
pensión	4.85	4.30	4.10	4.35	3.50	5.68
perdición	2.74	5.91	2.86	2.23	3.95	4.52
pérdida	1.55	7.80	2.40	3.09	5.75	6.25
perdido	2.70	6.29	3.60	2.80	4.80	6.05
perezoso	4.60	2.24	5.17	4.83	5.00	6.33
perfil	5.19	4.50	3.48	4.00	5.50	6.05
periódico	5.61	4.04	5.32	6.90	6.24	6.65
persecución	2.73	7.25	4.05	4.80	4.74	4.35
perversión	2.55	7.95	3.71	2.80	3.67	3.85
pervertido	2.23	6.95	5.04	4.17	4.45	5.55
pesadilla	2.09	7.05	4.38	3.57	5.27	6.18
pesimismo	2.09	7.30	4.36	2.43	3.50	5.64
pesimista	2.23	4.95	4.76	2.55	3.23	5.65
petróleo	3.77	4.75	6.45	5.75	5.09	5.75
picaresca	5.73	5.50	3.45	2.22	2.73	3.64
pie	4.90	3.81	6.27	6.86	6.27	6.55
pieza	4.85	3.86	4.09	4.95	5.05	5.55
pila	4.90	4.27	5.33	6.55	5.15	5.95
piloto	5.35	5.95	5.19	6.20	6.00	5.95
pincel	5.50	3.60	6.19	6.86	5.38	5.33
pinchazo	2.95	6.73	4.83	5.83	5.86	5.91
pino	5.77	2.65	6.09	6.10	5.25	5.62
pinta	5.05	3.68	3.32	3.23	4.65	4.85
pintora	6.55	2.85	5.29	6.18	4.91	5.35
pipa	5.14	3.75	5.41	6.57	4.55	5.70
pirata	4.69	5.90	5.48	6.40	4.86	5.33
pirómano	1.85	7.40	5.86	4.55	4.70	5.09
pista	5.00	4.10	2.90	4.20	4.85	5.52
placer	8.39	6.05	2.85	4.76	6.23	6.55
placidez	6.87	4.32	3.68	2.32	3.23	3.48
plan	5.73	6.00	3.14	2.65	3.83	6.00
plano	4.85	3.23	4.24	4.95	4.50	5.62
plástico	4.45	3.85	4.90	5.65	4.71	6.43
plato	5.55	3.36	5.09	6.96	6.05	6.75
pluma	5.95	2.05	4.81	6.86	5.14	5.30
pobreza	1.48	7.35	3.70	3.64	6.14	6.50
poderío	5.27	6.00	2.36	2.13	3.79	4.35
poetisa	6.12	3.35	6.05	2.75	3.36	4.36
polo	5.27	4.00	4.64	6.10	5.00	5.10
pompa	5.91	4.32	5.14	6.41	4.95	3.65
porción	5.27	3.95	3.29	5.55	4.70	4.32
pornografía	3.48	6.32	4.85	6.29	5.55	5.77
portería	4.90	3.55	5.41	6.52	5.41	5.71
portero	5.09	3.60	5.50	6.41	5.80	6.05
pórtico	5.42	3.50	5.62	5.40	3.27	2.50
posadera	4.95	4.20	4.00	4.18	2.91	2.91
posición	5.20	3.86	2.25	2.09	4.22	6.25
pozo	4.22	5.55	6.45	6.85	5.77	5.48
precipicio	3.14	6.45	5.65	5.90	5.27	4.19
pregón	4.76	3.65	5.13	5.17	4.23	3.57
premio	7.68	6.30	4.23	4.81	5.10	6.27
prensa	4.70	4.18	4.20	6.19	5.75	6.25
preocupación	2.21	7.24	3.75	2.81	4.95	6.75
presa	3.50	5.09	3.91	5.18	4.45	4.52
presentador	5.70	5.20	4.57	6.00	5.86	6.05
presentadora	5.31	4.75	5.14	5.70	6.41	6.23
presente	6.87	5.10	2.95	3.19	4.73	6.35
preservativo	6.17	5.36	6.50	6.82	6.36	5.77
presión	2.85	6.73	3.05	2.48	3.95	5.57
prima	6.31	4.35	4.62	4.25	5.95	6.64
primo	5.86	4.41	5.20	5.90	6.25	6.62
princesa	6.40	4.85	5.48	6.23	5.64	6.04
prioridad	5.36	5.20	2.90	2.20	5.27	6.35
prisión	2.24	6.59	5.95	6.10	5.14	5.30
prisionero	1.95	5.20	5.55	5.95	5.38	5.36
privación	3.52	6.45	2.95	1.59	2.73	4.43
privilegio	6.50	5.24	3.40	2.27	4.15	6.10
probabilidad	5.36	4.73	2.10	1.65	3.91	5.76
proceso	5.65	4.32	2.35	2.38	3.48	5.40
prodigio	6.57	4.59	3.23	2.60	3.45	4.68
producto	5.14	3.85	3.45	4.55	4.86	5.60
profesora	6.10	4.65	5.05	6.52	6.64	6.95
programa	4.92	4.70	2.43	3.70	5.27	6.52
progreso	6.41	4.30	3.15	2.10	3.30	5.57
prohibición	2.71	6.67	3.71	3.23	5.10	5.86
propietario	5.38	4.05	4.14	3.14	4.68	5.95
proporción	4.90	4.10	3.24	2.68	2.73	4.68
propuesta	6.09	4.68	2.95	2.25	4.95	5.25
prosperidad	8.04	4.18	2.15	2.35	3.36	5.75
protegido	7.59	2.45	3.65	1.90	4.13	5.59
provincia	4.95	4.14	4.68	4.50	4.45	6.25
provocación	4.42	7.71	3.05	3.10	4.40	5.82
psicóloga	8.35	4.45	5.38	5.27	6.86	6.59
publicidad	5.35	4.00	4.00	5.71	6.13	6.60
publicista	5.50	5.45	4.81	3.85	3.41	5.65
puente	5.74	4.60	5.71	6.64	5.82	6.35
puerta	5.00	4.41	6.55	6.82	6.59	6.86
puerto	6.30	3.65	5.86	5.90	5.91	6.05
pulsera	5.87	4.15	6.65	6.50	6.18	6.62
puñal	2.36	7.05	6.18	6.70	4.04	4.91
puño	3.20	6.55	6.32	6.40	5.30	5.91
pupila	5.30	4.05	6.55	6.09	5.00	5.43
pureza	6.74	3.40	2.75	2.57	2.82	4.80
purgatorio	3.57	5.23	4.41	2.82	2.82	4.04
puro	4.85	3.55	4.15	4.77	4.35	5.57
queja	3.09	6.36	3.20	2.23	5.55	5.85
quemadura	2.75	7.00	6.22	6.70	5.95	6.05
querida	5.50	4.40	2.57	2.95	3.45	5.10
querido	8.00	5.48	3.29	2.55	4.50	6.55
quiebra	1.91	7.00	3.65	2.80	3.96	4.50
quietud	4.74	2.55	3.10	3.04	3.27	5.15
quimera	4.40	4.09	2.95	2.10	2.23	3.35
quiosco	5.05	4.35	6.62	6.55	5.67	6.43
rana	5.32	3.60	6.60	6.95	5.45	4.95
rapto	2.85	6.68	3.50	4.14	3.86	4.20
rareza	4.27	4.35	2.50	1.90	2.57	5.19
rastro	4.45	4.50	3.32	3.68	4.36	4.75
realeza	4.55	4.10	4.60	4.30	4.74	5.09
realidad	5.57	5.40	2.95	1.82	3.68	6.35
realismo	5.90	5.14	2.70	1.91	3.57	5.64
rebelión	4.83	6.62	3.95	3.86	3.50	5.14
recado	4.90	4.70	3.62	2.45	5.55	5.32
rechazo	1.59	7.30	3.09	2.75	4.59	5.19
recogedor	4.70	3.45	6.25	5.71	5.77	6.17
recorte	2.13	6.18	3.27	3.73	5.86	6.05
recreo	7.60	5.82	4.59	4.14	6.30	5.67
rectángulo	5.04	3.71	6.05	6.86	5.05	6.30
recuerdo	6.43	5.95	2.45	3.27	5.36	6.05
recurso	5.73	3.65	2.10	2.14	3.79	6.05
reflejo	5.45	5.05	3.50	4.40	4.54	6.45
reflexión	5.45	3.85	2.73	2.36	4.59	5.86
refrigerio	4.85	5.18	4.15	3.38	3.82	3.52
refugiada	2.75	5.90	3.52	4.17	4.18	4.05
refugiado	1.73	5.95	4.90	4.25	4.18	4.43
régimen	3.80	4.52	3.04	4.09	4.95	4.90
regresión	4.43	4.36	3.20	2.05	2.36	4.30
rehén	2.05	6.50	5.10	4.10	3.65	4.50
reina	4.62	5.35	6.00	5.75	5.68	5.55
relación	7.27	4.00	1.80	3.57	6.45	6.70
relajación	8.23	1.50	3.86	3.05	6.00	6.05
relámpago	5.41	5.91	5.91	6.55	6.00	5.75
relato	6.13	4.00	4.05	4.30	4.90	4.76
reloj	5.19	3.90	6.65	6.95	6.09	6.73
repisa	5.00	3.86	5.76	5.14	4.14	4.81
réplica	4.90	4.50	4.25	2.95	3.86	5.80
reportera	5.70	5.10	5.14	5.95	5.95	5.86
represión	2.26	6.14	3.41	2.55	3.55	4.38
repulsión	2.26	6.40	4.19	3.33	2.55	4.38
reputación	4.73	5.40	3.10	1.55	3.13	5.85
resaca	3.09	4.27	5.18	3.91	6.27	6.29
rescate	6.32	5.91	4.80	4.20	4.95	4.62
reservado	4.23	3.73	3.90	2.52	5.41	5.76
retórica	5.50	3.95	2.70	1.83	2.73	3.90
retrato	5.93	3.87	5.27	6.14	4.57	5.57
revelación	5.64	6.40	2.09	2.52	4.00	4.73
reverendo	4.10	4.15	5.86	5.81	3.73	3.38
reverente	4.95	4.29	3.35	2.67	1.36	2.20
revés	4.70	4.65	3.00	3.76	3.50	5.14
revivir	7.05	6.10	4.29	3.67	3.08	5.32
revolución	5.52	6.64	3.45	4.57	5.32	5.60
revólver	2.60	6.91	6.45	6.25	4.59	4.86
rey	4.00	5.35	5.75	6.05	4.95	6.23
riego	4.91	4.32	4.74	5.00	4.27	4.68
riesgo	4.96	7.73	2.40	2.35	4.95	5.45
riña	3.05	6.82	4.83	4.96	3.83	4.41
risa	8.62	6.10	5.38	5.70	6.27	6.95
rivalidad	3.95	7.15	3.45	3.05	4.35	5.32
romanticismo	7.27	5.15	3.38	3.90	6.04	5.73
rompecabezas	5.32	6.05	5.10	5.45	4.59	4.45
rotación	5.09	5.75	4.15	3.35	3.65	4.10
rotura	3.08	6.76	3.30	4.86	4.70	4.65
rubio	5.45	4.23	5.40	6.52	4.91	6.10
rueda	4.86	3.81	6.05	6.64	6.27	6.32
rugido	4.52	5.55	4.59	4.45	5.41	5.00
ruido	3.81	6.95	3.77	3.55	5.52	6.76
ruidoso	3.59	6.70	4.91	4.78	5.00	5.86
ruptura	1.48	7.18	3.00	3.35	5.18	5.86
sabiduría	7.39	3.95	3.35	2.18	3.64	5.25
saciedad	4.65	4.00	3.14	3.00	3.27	4.39
sacrificio	4.27	7.55	3.50	3.40	4.43	5.10
sádico	2.45	7.70	4.30	3.85	3.45	4.91
salario	7.85	6.59	5.65	3.65	6.35	6.32
salto	5.20	4.55	4.68	5.41	5.55	6.41
salud	7.09	4.80	2.00	2.55	5.23	6.65
salvaje	4.96	7.43	3.68	4.45	4.70	5.86
sangre	2.95	7.18	6.27	6.25	6.22	6.10
sangriento	2.38	7.36	5.09	4.87	5.23	4.32
sanidad	6.71	5.71	4.14	2.68	5.05	5.91
sección	4.45	4.40	2.55	2.18	2.92	5.23
secretaria	5.43	4.09	5.27	5.52	5.10	6.05
secretario	4.42	3.50	5.33	4.00	5.35	5.38
secuestrador	2.00	7.60	5.86	4.45	4.91	4.52
secuestro	1.64	8.15	4.50	4.45	4.38	5.05
seducción	7.23	7.70	4.10	3.23	5.42	5.00
seguridad	7.41	3.70	2.40	2.85	4.83	6.15
semáforo	4.78	4.14	6.80	6.90	6.27	6.78
senadora	5.35	5.00	5.38	4.59	3.50	4.25
seno	5.46	3.76	5.55	6.04	5.20	5.45
sensualidad	7.05	6.20	2.65	3.95	5.95	5.82
sentimiento	6.95	5.10	2.60	2.09	4.77	6.60
señal	4.80	4.60	4.41	6.83	5.85	6.20
separación	1.59	6.50	3.80	3.75	5.55	5.50
sequía	2.41	5.25	3.91	5.40	4.41	5.27
serenidad	6.18	2.50	3.00	2.71	3.54	4.85
seriedad	4.27	2.80	5.00	2.90	4.65	5.85
serpiente	4.05	6.64	6.55	6.85	5.35	6.00
servilleta	5.04	3.60	6.45	6.90	6.14	6.67
severidad	4.00	5.00	3.36	2.22	3.13	3.67
sierra	5.35	5.05	5.86	6.59	4.82	5.00
siesta	7.41	1.65	5.35	5.50	6.45	6.25
significado	5.52	3.73	3.36	1.70	3.82	6.27
signo	5.13	3.95	2.90	4.09	4.82	5.52
silla	5.18	4.00	6.73	6.82	6.50	6.60
símbolo	5.05	4.36	2.36	4.18	4.52	5.62
simetría	5.46	3.67	4.27	5.19	3.50	4.55
simpático	8.00	5.27	5.00	5.00	6.27	6.48
siniestro	2.18	6.90	3.09	3.59	3.86	4.70
sirena	6.05	5.45	4.77	6.65	5.05	5.36
situación	5.14	4.00	2.05	2.45	5.09	5.90
sociedad	5.55	5.50	3.00	2.59	5.55	6.00
socorro	2.92	7.81	3.70	2.45	5.50	5.27
solar	5.50	3.85	4.48	4.67	4.70	4.91
soldado	3.45	5.73	6.00	6.29	5.00	5.86
solitario	2.65	3.73	2.77	4.36	4.86	5.67
solución	7.86	4.55	3.95	2.30	4.87	6.00
sombra	4.35	4.95	4.27	5.64	4.27	6.36
sombrero	5.40	3.18	6.45	6.86	6.14	5.90
sonido	6.05	5.18	3.57	3.05	5.61	6.24
sonrisa	8.91	3.75	5.71	6.45	6.73	6.86
soplo	4.85	3.95	4.14	4.10	5.40	5.09
sorprendido	6.00	6.86	5.35	5.09	5.95	5.95
sospecha	3.35	6.50	3.00	2.48	4.96	5.35
suavidad	6.50	3.10	3.00	4.38	5.75	6.00
subida	5.09	6.75	4.50	5.70	5.13	5.78
suceso	5.39	5.55	1.80	2.86	3.86	6.10
sucio	2.33	5.73	4.50	5.50	5.45	6.05
sudor	3.96	5.18	6.18	5.81	6.09	6.50
suerte	8.09	4.65	2.15	2.23	4.95	6.55
sufrimiento	1.50	7.75	2.55	3.14	4.86	5.57
suicidio	1.64	7.95	6.00	4.23	4.91	5.90
sujetador	5.23	5.10	5.95	6.90	6.27	6.77
superación	8.00	6.30	2.64	3.35	4.71	5.55
superioridad	4.18	5.62	3.10	2.90	4.13	5.50
supermercado	5.74	3.68	5.90	6.68	6.59	6.87
suplicio	2.96	6.40	3.29	1.86	2.32	4.09
suspenso	1.45	8.40	4.10	4.32	5.79	6.00
sustancia	4.68	4.45	2.15	3.75	3.71	5.05
sustento	5.48	4.27	3.19	2.14	1.77	4.43
susurro	5.78	4.05	5.38	3.27	6.14	6.00
tabla	5.05	3.45	4.73	6.70	5.10	6.52
taburete	5.05	3.71	6.64	6.76	5.64	5.80
tacaño	2.15	5.45	4.86	3.30	3.32	5.27
talla	4.68	4.59	3.55	3.90	5.85	6.23
talle	4.80	3.50	4.39	3.09	1.95	2.86
talón	5.10	3.67	6.05	6.55	6.25	5.80
tamaño	5.13	4.86	2.50	2.83	5.27	6.40
tambor	5.75	4.87	5.77	7.00	5.05	5.29
tanatorio	1.05	6.55	6.48	6.05	6.13	4.50
tanga	5.55	5.35	6.33	6.67	5.50	6.45
tanque	2.77	6.50	5.90	6.55	5.10	4.52
tarántula	3.32	7.19	6.73	6.45	5.30	4.00
tatuaje	5.82	5.75	5.59	6.95	6.30	5.95
taza	5.43	3.60	6.23	7.00	6.27	6.70
teja	4.86	3.35	5.70	6.48	3.91	5.23
tela	4.95	3.10	5.29	6.23	5.15	6.00
teléfono	5.96	4.35	5.91	7.00	6.77	6.91
telescopio	5.46	3.71	6.76	6.67	6.30	5.29
temor	2.86	6.95	3.15	2.77	3.91	5.75
tenedor	4.90	4.05	6.90	6.91	6.32	6.65
tensión	3.13	7.29	2.45	2.00	4.30	6.45
tenso	3.55	5.95	4.87	4.43	4.68	6.00
tentación	6.00	7.75	2.95	3.19	5.88	6.35
tenue	4.32	3.20	4.10	2.57	3.27	4.19
teoría	5.14	4.50	3.55	2.48	4.59	6.35
ternura	8.35	4.36	3.20	3.32	5.78	6.40
terremoto	1.75	7.33	5.41	4.85	5.48	4.80
terrorismo	1.14	7.90	3.80	3.85	5.26	5.15
testamento	3.20	5.55	6.00	4.45	4.74	4.81
tiburón	4.00	6.80	6.85	6.75	5.65	6.09
tieso	4.55	5.15	4.48	4.70	3.55	4.48
tijeras	4.90	5.29	6.76	6.91	6.23	6.62
tímido	3.62	3.68	4.60	3.10	5.59	6.33
tinta	4.76	4.27	5.55	6.39	5.90	5.85
tío	6.57	4.39	4.41	5.19	5.05	6.90
titular	5.60	3.95	3.77	4.00	5.25	5.67
tobillo	4.85	3.70	6.90	6.86	5.86	6.10
tobogán	6.68	5.95	6.65	6.80	6.05	5.35
tolerancia	7.52	4.14	1.95	1.77	4.09	5.61
tomate	5.14	4.50	6.76	7.00	6.00	6.57
tonada	4.86	4.00	4.45	1.81	1.32	1.65
tormenta	4.40	5.95	5.48	6.30	6.48	6.48
tormento	2.65	6.35	2.95	1.95	3.18	4.59
tornado	2.73	7.33	6.39	6.22	5.00	4.52
toro	4.29	6.75	6.60	6.76	6.36	5.64
torturador	1.33	7.95	6.09	4.30	3.83	4.00
tóxico	2.62	6.95	4.30	3.80	5.00	5.32
tractor	4.86	4.09	6.77	7.00	4.48	6.13
traficante	2.00	6.00	5.62	3.60	5.57	5.05
tragedia	1.59	6.64	2.25	4.67	4.59	5.90
traición	1.41	7.65	3.80	2.40	4.17	5.38
traidor	2.35	7.68	4.55	3.30	4.41	5.15
trámite	4.27	5.35	3.15	2.91	4.59	6.25
trampa	2.58	5.70	4.33	3.65	3.27	5.65
tramposo	2.60	6.15	4.43	3.35	3.91	5.81
trance	4.55	4.27	2.43	2.60	2.14	2.90
tránsito	3.76	6.77	3.60	3.35	5.09	6.15
tranvía	4.67	5.05	6.36	6.52	5.73	4.52
trapecista	5.73	5.95	6.38	4.80	4.73	4.50
trascendencia	5.45	4.90	2.86	1.32	1.73	4.95
trato	5.32	4.90	2.55	2.50	4.50	6.45
travesura	5.59	6.23	4.30	4.17	5.45	5.26
trecho	4.91	4.27	3.05	3.00	2.23	4.05
tregua	4.95	3.90	3.60	1.55	2.91	4.45
triángulo	5.32	4.60	5.60	6.62	3.95	6.09
tripa	3.75	4.50	5.41	5.82	5.40	5.09
tristeza	1.43	6.30	2.30	4.35	5.18	6.30
triunfador	7.91	5.23	3.95	3.45	5.15	5.73
triunfante	7.41	6.55	4.39	4.83	4.50	4.74
triunfo	8.50	6.95	4.60	3.65	5.13	5.73
trofeo	6.90	4.57	5.50	6.35	4.73	6.09
trozo	4.50	3.60	2.85	5.04	4.67	5.45
tuberculosis	1.59	6.60	5.95	2.50	3.21	3.18
túnel	4.57	5.50	5.95	6.52	6.00	5.45
turno	4.82	4.45	3.50	2.57	4.18	6.35
uniforme	4.71	4.43	3.77	6.19	5.67	5.43
utensilio	5.19	3.50	2.60	4.14	4.27	4.78
útero	5.27	5.20	6.70	4.95	4.64	5.67
utopía	5.96	5.00	2.60	2.14	1.85	4.80
vagón	5.14	4.05	6.35	6.68	5.23	6.29
vale	5.24	3.95	3.55	4.52	4.15	6.82
valiente	7.68	5.40	4.40	3.60	4.00	5.75
valle	6.00	2.35	5.40	6.00	4.75	4.82
vándalo	3.05	6.50	4.70	4.60	4.35	3.55
vegetación	7.17	3.50	3.77	6.48	5.68	5.86
vela	4.81	2.68	5.50	7.00	5.80	5.20
velo	4.59	4.35	4.24	6.00	4.68	4.48
vencedora	7.58	6.35	4.29	4.35	3.86	5.50
venda	4.45	4.00	5.80	4.67	5.00	6.14
vendedor	5.00	4.25	5.10	4.85	5.32	6.41
veneración	4.68	4.50	3.30	1.86	2.95	3.05
venganza	2.17	7.10	3.59	2.62	4.09	5.75
ventaja	6.36	4.15	2.90	2.00	3.42	5.45
ventanilla	5.22	3.36	6.23	6.77	6.05	6.05
verbena	7.71	6.24	4.77	5.91	5.75	5.36
verdadero	7.64	4.25	4.10	2.15	4.22	6.00
verdugo	3.57	5.75	5.43	3.10	2.48	3.57
vergüenza	3.32	6.40	3.71	2.82	6.09	6.67
verruga	1.95	5.75	7.00	6.40	5.74	4.55
versión	5.00	4.20	2.35	1.41	3.14	5.20
verso	6.05	4.25	4.27	4.95	5.00	5.38
vértigo	3.32	6.95	4.10	2.95	5.09	4.90
vestíbulo	4.90	4.09	4.95	5.95	4.73	5.00
veterinaria	6.18	4.61	5.91	5.90	5.86	4.80
viajes	7.76	6.32	3.70	5.78	6.36	6.41
vicio	4.09	5.75	2.95	2.41	5.32	5.77
victoria	8.09	5.43	3.95	3.95	5.41	5.95
vidrio	5.10	4.55	5.14	6.41	4.91	5.24
vigía	4.85	4.95	4.19	3.04	2.41	2.71
violación	1.00	7.90	4.10	4.00	4.39	5.64
violador	1.33	7.91	5.32	3.10	4.39	5.14
violencia	1.55	7.82	2.20	4.70	6.00	6.05
violento	2.14	7.29	5.13	4.74	5.27	6.05
vistazo	4.82	4.55	3.55	2.27	4.17	5.27
vitalidad	8.05	5.40	3.30	3.43	4.86	6.10
viuda	1.55	5.70	6.10	4.85	5.36	4.75
viudo	1.86	5.20	5.77	4.23	5.42	4.55
vivir	8.48	6.41	2.41	2.85	5.64	6.29
vivo	7.55	4.80	5.00	4.78	5.23	6.32
volcán	4.17	7.00	6.59	6.59	6.15	3.90
volumen	5.36	5.41	4.05	2.36	5.55	6.36
voluntad	7.57	4.32	2.35	2.23	4.45	5.45
voluptuosidad	5.23	4.95	3.33	2.86	2.55	2.55
zapato	5.91	3.95	5.95	6.71	6.41	6.73
zurra	2.81	5.95	4.13	3.91	3.50	2.77
